id_pelicula,nombre_pelicula,puntos_imdb,puntos_rotten,media_puntos
tt16993470,Elmar,10,89,94.5
tt28287857,"Mais Pesado é o Céu",10,86,93
tt3278500,Donovan,9,100,95
tt10827864,"Teacher of the Year",9,100,95
tt27525917,Ramzan,9,100,95
tt5119914,"Bari Luys",9,97,93.5
tt12627728,Transition,9,97,93.5
tt0167260,"The Lord of the Rings: The Return of the King",9,94,92
tt16977014,"Mickey Hardaway",9,94,92
tt17423592,"Pray for the Bear",9,94,92
tt27127520,"Black America",9,93,91.5
tt10422784,"The Hoy Boys",9,93,91.5
tt11404052,"Capital M",9,93,91.5
tt4604666,Baby,9,92,91
tt11492064,"La Mujer de Vidrio",9,89,89.5
tt11734728,ODA,9,89,89.5
tt27911825,"In Pursuit of Love",9,88,89
tt10482802,"The Lamp of Truth",9,87,88.5
tt3891720,"The Performance",9,87,88.5
tt15250704,"Little Brother",9,87,88.5
tt27349262,Aura,9,87,88.5
tt24701256,"My Best Friend Daadu",9,86,88
tt27449521,"Bukannya Aku Tidak Mau Nikah",9,86,88
tt27424932,"Sambandho Ma Khali Jagya",9,86,88
tt23558818,"Pyar Ki Policy",9,85,87.5
tt26754306,"Ondolle Love Story",9,84,87
tt25392760,Bluff,9,83,86.5
tt13898182,Elephant,9,83,86.5
tt3609728,"Sands of Silence",9,83,86.5
tt11429932,"Lohem Baneshama",9,82,86
tt27687483,"Detektif Jaga Jarak",9,81,85.5
tt27710406,"Fuga dalla Morte",9,81,85.5
